_id,vehicleSclId,vehicleUid,driverFirstName,driverLastName,totalTimeVehicleMovingSec,totalTimeVehicleIdleSec,totalMiles,totalKm,firstTime,lastTime,startLat,startLong,endLat,endLong,fuelEfficiencyKPL,fuelConsumedL,fuelEfficiencyMPG,fuelConsumedGal,totalTimeSegmentSec,idlePercent,runningPercent,nightTimeDrive
101467:0358979100020794:1638592413,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,0,161,0,0,2021-12-04T04:33:33.000Z,2021-12-04T04:36:14.000Z,-7.254058,110.441177,-7.254058,110.441177,,,,,161,100,0,0
101467:0358979100020794:1638592589,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,0,9,0,0,2021-12-04T04:36:29.000Z,2021-12-04T04:36:38.000Z,-7.254058,110.441177,-7.254058,110.441177,,,,,9,100,0,0
101467:0358979100020794:1638592634,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,6,44,0.06011423005211133,0.09674447544898505,2021-12-04T04:37:14.000Z,2021-12-04T04:38:04.000Z,-7.255081,110.443015,-7.255583,110.442313,,,,,50,88,12,0
101467:0358979100020794:1638592773,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,57,0,0.01154036413043236,0.018572415771126536,2021-12-04T04:39:33.000Z,2021-12-04T04:40:30.000Z,-7.254788,110.441062,-7.254939,110.441016,,,,,57,0,100,0
101467:0358979100020794:1638592835,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,12,30,0.01724021683565421,0.027745439523159093,2021-12-04T04:40:35.000Z,2021-12-04T04:41:17.000Z,-7.255037,110.441093,-7.254788,110.441077,,,,,42,71.42857142857143,28.571428571428573,0
101467:0358979100020794:1638592902,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,18,0,0.00869177942441258,0.01398806306600184,2021-12-04T04:41:42.000Z,2021-12-04T04:42:00.000Z,-7.254754,110.441032,-7.254701,110.440917,,,,,18,0,100,0
101467:0358979100020794:1638607285,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,54,180,0.06390852692228442,0.1028508043512169,2021-12-04T08:41:25.000Z,2021-12-04T08:45:19.000Z,-7.254748,110.441001,-7.254093,110.441436,,,,,234,76.92307692307692,23.076923076923077,0
101467:0358979100020794:1638607557,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,25,0,0.0010364637762194095,0.0016680267594760495,2021-12-04T08:45:57.000Z,2021-12-04T08:46:22.000Z,-7.254093,110.441436,-7.254108,110.441436,,,,,25,0,100,0
101467:0358979100036352:1639018837,e2236ca0-5162-11ec-a410-d301109ec991,SELIS 4010000001,,,0,77,0.008745964465389314,0.0140752654365875,2021-12-09T03:00:37.000Z,2021-12-09T03:01:54.000Z,-6.22048,106.528045,-6.220554,106.528121,,,,,77,100,0,0
101467:0358979100036352:1639019060,e2236ca0-5162-11ec-a410-d301109ec991,SELIS 4010000001,,,0,23,0.0030980266150925084,0.004985790544839438,2021-12-09T03:04:20.000Z,2021-12-09T03:04:43.000Z,-6.220554,106.528121,-6.220551,106.528076,,,,,23,100,0,0
101467:0358979100036352:1639019127,e2236ca0-5162-11ec-a410-d301109ec991,SELIS 4010000001,,,0,692,0.005004549624298566,0.00805404191056715,2021-12-09T03:05:27.000Z,2021-12-09T03:16:59.000Z,-6.220551,106.528076,-6.220525,106.528144,,,,,692,100,0,0
101467:0358979100020117:1639019701,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,5705,0.05344162350616177,0.08600595613990042,2021-12-09T03:15:01.000Z,2021-12-09T04:50:06.000Z,-6.220571,106.528091,-6.220504,106.528121,,,,,5705,100,0,0
101467:0358979100036345:1639019758,111f7850-5163-11ec-9f21-0fb1de4aafea,SELIS 4010000003,,,0,35,0,0,2021-12-09T03:15:58.000Z,2021-12-09T03:16:33.000Z,-6.220422,106.528091,-6.220422,106.528091,,,,,35,100,0,0
101467:0358979100040743:1639019815,29b40ac0-5163-11ec-9f21-0fb1de4aafea,SELIS 4010000004,,,0,17,0,0,2021-12-09T03:16:55.000Z,2021-12-09T03:17:12.000Z,-6.220498,106.528091,-6.220498,106.528091,,,,,17,100,0,0
101467:0358979100039307:1639203200,d73bb7b0-5163-11ec-a410-d301109ec991,SELIS 1010100019,,,0,180,0,0,2021-12-11T06:13:20.000Z,2021-12-11T06:16:20.000Z,-6.220564,106.52832,-6.220564,106.52832,,,,,180,100,0,0
101467:0358979100040743:1639543780,29b40ac0-5163-11ec-9f21-0fb1de4aafea,SELIS 4010000004,,,0,33,0.02725285943842414,0.04385922582007126,2021-12-15T04:49:40.000Z,2021-12-15T04:50:13.000Z,-6.220274,106.528175,-6.22048,106.528144,,,,,33,100,0,0
101467:0358979100020117:1639547828,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,7,0.0030145545284222595,0.004851455242989193,2021-12-15T05:57:08.000Z,2021-12-15T05:57:15.000Z,-6.220504,106.528121,-6.220545,106.528106,,,,,7,100,0,0
101467:0358979100020117:1639547849,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,5,0,0,2021-12-15T05:57:29.000Z,2021-12-15T05:57:34.000Z,-6.220545,106.528106,-6.220545,106.528106,,,,,5,100,0,0
101467:0358979100020117:1639547871,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,10,0,0,2021-12-15T05:57:51.000Z,2021-12-15T05:58:01.000Z,-6.220572,106.52806,-6.220572,106.52806,,,,,10,100,0,0
101467:0358979100020117:1639547896,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,44,0.0028007718114797953,0.00450740531017414,2021-12-15T05:58:16.000Z,2021-12-15T05:59:00.000Z,-6.220525,106.528091,-6.22053,106.528121,,,,,44,100,0,0
101467:0358979100020117:1639547953,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,2,0.0002763903404497115,0.00044480713606070055,2021-12-15T05:59:13.000Z,2021-12-15T05:59:15.000Z,-6.220525,106.528121,-6.220521,106.528121,,,,,2,100,0,0
101467:0358979100020117:1639547956,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,6,0,0,2021-12-15T05:59:16.000Z,2021-12-15T05:59:22.000Z,-6.220521,106.528121,-6.220521,106.528121,,,,,6,100,0,0
101467:0358979100020117:1639547997,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,4,0.0010667877231305381,0.0017168284214937929,2021-12-15T05:59:57.000Z,2021-12-15T06:00:01.000Z,-6.220521,106.528121,-6.220517,106.528106,,,,,4,100,0,0
101467:0358979100020117:1639548002,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,2,0,0,2021-12-15T06:00:02.000Z,2021-12-15T06:00:04.000Z,-6.220517,106.528106,-6.220517,106.528106,,,,,2,100,0,0
101467:0358979100020117:1639548005,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,212,0,0,2021-12-15T06:00:05.000Z,2021-12-15T06:03:37.000Z,-6.220517,106.528106,-6.220517,106.528106,,,,,212,100,0,0
101467:0358979100020117:1639548250,44e19790-5163-11ec-a410-d301109ec991,SELIS 4010000005,,,0,151,0,0,2021-12-15T06:04:10.000Z,2021-12-15T06:06:41.000Z,-6.220517,106.528106,-6.220517,106.528106,,,,,151,100,0,0
101467:0358979100036345:1639549218,111f7850-5163-11ec-9f21-0fb1de4aafea,SELIS 4010000003,,,0,1,0.0030053788963621346,0.004836688494587024,2021-12-15T06:20:18.000Z,2021-12-15T06:20:19.000Z,-6.220469,106.528144,-6.220506,106.528121,,,,,1,100,0,0
101467:0358979100036345:1639549220,111f7850-5163-11ec-9f21-0fb1de4aafea,SELIS 4010000003,,,0,20,0,0,2021-12-15T06:20:20.000Z,2021-12-15T06:20:40.000Z,-6.220506,106.528121,-6.220506,106.528121,,,,,20,100,0,0
101467:0358979100036352:1639549563,e2236ca0-5162-11ec-a410-d301109ec991,SELIS 4010000001,,,0,18,0.0038513851583290354,0.006198203596245884,2021-12-15T06:26:03.000Z,2021-12-15T06:26:21.000Z,-6.220536,106.528106,-6.220551,106.52816,,,,,18,100,0,0
101467:0358979100036352:1639619595,e2236ca0-5162-11ec-a410-d301109ec991,SELIS 4010000001,,,0,52,0,0,2021-12-16T01:53:15.000Z,2021-12-16T01:54:07.000Z,-6.221015,106.52835,-6.221015,106.52835,,,,,52,100,0,0
101467:0358979100040743:1639619737,29b40ac0-5163-11ec-9f21-0fb1de4aafea,SELIS 4010000004,,,0,48,0,0,2021-12-16T01:55:37.000Z,2021-12-16T01:56:25.000Z,-6.22048,106.528144,-6.22048,106.528144,,,,,48,100,0,0
101467:0358979100020794:1639793546,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,0,261,0,0,2021-12-18T02:12:26.000Z,2021-12-18T02:16:47.000Z,-7.254098,110.441421,-7.254098,110.441421,,,,,261,100,0,0
101467:0358979100020794:1639795926,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,26,0,0.023102248207857133,0.03717946453982563,2021-12-18T02:52:06.000Z,2021-12-18T02:52:32.000Z,-7.254792,110.441016,-7.254771,110.440932,,,,,26,0,100,0
101467:0358979100020794:1639795983,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,179,989,0.48469520032946395,0.7800413124790209,2021-12-18T02:53:03.000Z,2021-12-18T03:12:31.000Z,-7.254765,110.440917,-7.254989,110.440413,,,,,1168,84.67465753424658,15.325342465753424,0
101467:0358979100020794:1639797158,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,100,0,0.1531804775101952,0.2465200823981676,2021-12-18T03:12:38.000Z,2021-12-18T03:14:18.000Z,-7.255017,110.440475,-7.255229,110.439941,,,,,100,0,100,0
101467:0358979100020794:1639797260,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,19,0,0.0026257082333382416,0.004225667791073499,2021-12-18T03:14:20.000Z,2021-12-18T03:14:39.000Z,-7.255201,110.439926,-7.255239,110.439926,,,,,19,0,100,0
101467:0358979100020794:1639797280,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,5,0,0.0013055383861001692,0.002101060368439991,2021-12-18T03:14:40.000Z,2021-12-18T03:14:45.000Z,-7.255242,110.439926,-7.255252,110.439941,,,,,5,0,100,0
101467:0358979100020794:1639797316,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,122,30,0.270134508188088,0.4347393499454503,2021-12-18T03:15:16.000Z,2021-12-18T03:17:48.000Z,-7.25539,110.440055,-7.254856,110.440269,,,,,152,19.736842105263158,80.26315789473684,0
101467:0358979100020794:1639797476,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,360,457,0.6937607990337935,1.1164997793602414,2021-12-18T03:17:56.000Z,2021-12-18T03:31:33.000Z,-7.254831,110.44017,-7.254785,110.441192,,,,,817,55.936352509179926,44.063647490820074,0
101467:0358979100020794:1639798318,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,48,0,0.006385364865272096,0.010276248633736457,2021-12-18T03:31:58.000Z,2021-12-18T03:32:46.000Z,-7.254827,110.441116,-7.254766,110.441047,,,,,48,0,100,0
101467:0358979100020794:1639809124,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,0,4,0.0022344015262662676,0.0035959206898874604,2021-12-18T06:32:04.000Z,2021-12-18T06:32:08.000Z,-7.254756,110.441016,-7.254766,110.441047,,,,,4,100,0,0
101467:0358979100020794:1639809134,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,9,3216,0.00805095595144513,0.012956757654722512,2021-12-18T06:32:14.000Z,2021-12-18T07:25:59.000Z,-7.254756,110.441016,-7.254717,110.441116,,,,,3225,99.72093023255815,0.27906976744186046,0
101467:0358979100020794:1639818399,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,36,144,0.009446093831708628,0.01520201443149729,2021-12-18T09:06:39.000Z,2021-12-18T09:09:39.000Z,-7.254717,110.441116,-7.254588,110.441161,,,,,180,80,20,0
101467:0358979100020794:1639883654,ab9f4aa0-2746-11ec-aee5-dd69669a043b,SELIS 1010000014,,,25,445,0.08127504283577099,0.13079950253749104,2021-12-19T03:14:14.000Z,2021-12-19T03:22:04.000Z,-7.255046,110.441718,-7.255046,110.441718,,,,,470,94.68085106382979,5.319148936170213,0
